WorkerId,AssignmentId,Approved?,attribute,answers,,,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,3TXMY6UCAF7QU5W9AR1Y7GPF40VQCU,approved,separation_1:26:00::,unaccompanied : 15,apart : 19,asunder : 19,disjoint : 19,distinct : 19,isolated : 20,separate : 20,,,,,,,,,,,,,
AAJ5CS1GQYADR,3PMBY0YE28MK26FNTPQCLLZQU0OC9R,rejected,separation_1:26:00::,apart : 0,asunder : 0,disjoint : 0,distinct : 0,isolated : 0,separate : 0,unaccompanied : 0,,,,,,,,,,,,,
A2XFO0X6RCS98M,32RIADZISTNZCHY79GKLJISSUB2S4B,approved,modernity_1:07:00::,red-brick : 5,neo : 19,contemporary : 20,modern : 20,ultramodern : 20,,,,,,,,,,,,,,,
A3DNZIZRJ847AR,3KKG4CDWKJHH72280AKU2NN22OI94O,approved,modernity_1:07:00::,modern : 0,red-brick : 0,contemporary : 1,ultramodern : 19,neo : 20,,,,,,,,,,,,,,,
A3K8M2HF171NED,31QNSG6A5SCECK1HXGCN53C19JM78B,approved,status_1:26:00::,lower-class : 0,under : 0,subordinate : 1,associate : 3,lower-middle-class : 4,secondary : 6,assistant : 8,middle-class : 9,conservative : 10,quality : 12,bourgeois : 14,possessive : 14,upper-middle-class : 14,superior : 17,controlling : 20,dominant : 20,governing : 20,paramount : 20,supreme : 20,
A1LOD3LNX7FUPJ,39L1G8WVWRAE01G9WJ0IDCDDQCW13K,approved,status_1:26:00::,under : 0,lower-middle-class : 1,lower-class : 3,controlling : 6,paramount : 6,possessive : 6,assistant : 7,superior : 8,middle-class : 9,u : 9,conservative : 10,associate : 11,secondary : 12,subordinate : 12,quality : 13,bourgeois : 14,governing : 15,supreme : 17,dominant : 18,upper-middle-class : 19
A2CEUCPDECS6U3,337RC3OW06LB2HMW93O7GMEAF1KVL5,approved,gregariousness_1:07:00::,solitary : 0,ungregarious : 0,gregarious : 19,social : 19,,,,,,,,,,,,,,,,
A23WHSJ0I16TNN,3CTOC39K3893W1X0OK9EUTLFPUF7JU,approved,gregariousness_1:07:00::,solitary : 0,ungregarious : 0,gregarious : 20,social : 20,,,,,,,,,,,,,,,,
A291KO368YRYCR,3IX2EGZR7C2DEKHFXY7KZACFQ68JR4,approved,gregariousness_1:07:00::,ungregarious : 0,solitary : 1,social : 19,gregarious : 20,,,,,,,,,,,,,,,,
AMX5R6NLYNA2K,3WSELTNVR4LFT6R37HZ26QAEO4DATU,approved,kindness_1:07:00::,hurtful : 0,unkind : 0,unsympathetic : 0,cutting : 1,rough : 1,benign : 19,gentle : 19,gracious : 20,kind : 20,kind-hearted : 20,sympathetic : 20,,,,,,,,,
A1J8TVICSRC70W,3EJPLAJKENZASGOZNW78C999DHAZ6A,approved,kindness_1:07:00::,cutting : 0,hurtful : 0,rough : 3,unkind : 3,unsympathetic : 3,benign : 15,gentle : 15,sympathetic : 15,gracious : 18,kind : 18,kind-hearted : 18,,,,,,,,,
A03922113RU44GENR8ATX,3MRNMEIQW6PP80MAIIODA083FUODLW,approved,kindness_1:07:00::,hurtful : 0,rough : 0,cutting : 1,unkind : 1,unsympathetic : 2,gentle : 18,kind-hearted : 19,sympathetic : 19,gracious : 20,kind : 20,,,,,,,,,,
A3454T4PU9GJM0,3XXU1SWE8NEEDXUC9FBSMF89RT9A0B,approved,immediacy_1:07:02::,indirect : 1,mediate : 2,direct : 17,immediate : 20,,,,,,,,,,,,,,,,
A125P73OQSRNI5,32N49TQG3H1U6YVSCCZH78YZLPSVAU,approved,immediacy_1:07:02::,indirect : 0,mediate : 0,direct : 20,immediate : 20,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,3A1PQ49WVI0TU9N8B4PKH6EN9GBH12,approved,ambition_1:07:00::,ambitionless : 1,shiftless : 1,pushful : 17,wishful : 17,ambitious : 19,determined : 19,would-be : 19,overambitious : 20,,,,,,,,,,,,
A1LSEVXPEYMJL7,3R0T90IZ1TVZHG2V7VWMD2LDYDQCGP,approved,perfection_1:26:00::,blemished : 0,broken : 1,corrupt : 1,faulty : 2,irregular : 2,imperfect : 3,down : 5,cold : 14,idyllic : 16,errorless : 17,uncorrupted : 17,clean : 18,clear : 18,complete : 19,ideal : 19,impeccable : 19,flawless : 20,mint : 20,perfect : 20,pluperfect : 20
A3KOEOCIY5LUB,3Z4AIRP3C7WQGZNNG876KS2HX6W1XH,approved,perfection_1:26:00::,blemished : 0,broken : 0,imperfect : 0,faulty : 1,corrupt : 2,irregular : 3,uncorrupted : 13,clean : 14,idyllic : 15,clear : 16,errorless : 17,impeccable : 18,complete : 19,ideal : 19,flawless : 20,mint : 20,perfect : 20,pluperfect : 20,,
A1LOD3LNX7FUPJ,351SEKWQS109EI4VIUPSADNSF0AMD5,approved,perfection_1:26:00::,clean : 0,down : 1,blemished : 2,irregular : 2,corrupt : 3,idyllic : 3,broken : 4,cold : 5,faulty : 7,pluperfect : 7,uncorrupted : 8,clear : 9,imperfect : 9,impeccable : 11,complete : 13,ideal : 13,flawless : 14,errorless : 15,mint : 15,perfect : 16
AOROBXR5A300X,3BV8HQ2ZZXK9R8GRB4R9VGI04W16AE,approved,drama_1:07:00::,unspectacular : 0,undramatic : 1,melodramatic : 19,dramatic : 20,hammy : 20,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,3GGAI1SQEWHZ9QYHIYUHQ75AUZ2MC7,approved,drama_1:07:00::,undramatic : 0,unspectacular : 0,hammy : 18,dramatic : 20,melodramatic : 20,spectacular : 20,,,,,,,,,,,,,,
A7SM0NS3IFW96,3OSWBBLG1FGK8U3ZW1R1LU3QM40XD6,approved,drama_1:07:00::,hammy : 0,unspectacular : 0,undramatic : 1,melodramatic : 19,dramatic : 20,spectacular : 20,,,,,,,,,,,,,,
A2XFO0X6RCS98M,3EO896NRAXEQUZU71NCFZPDXER0JTC,approved,awareness_1:09:00::,oblivious : 2,unaware : 2,unsuspecting : 2,unconscious : 5,alive : 10,conscious : 10,sensible : 10,aware : 16,,,,,,,,,,,,
A23WHSJ0I16TNN,3CFJTT4SXU971QDU62OEIS6FCFR7IJ,approved,awareness_1:09:00::,unaware : 0,unconscious : 3,unsuspecting : 3,oblivious : 10,sensible : 10,conscious : 14,aware : 20,,,,,,,,,,,,,
A1J8TVICSRC70W,3DI28L7YXBXHAZW6L3HEW3HAH0J1E6,approved,difference_1:07:00::,several : 4,various : 4,distinct : 8,different : 11,divergent : 11,antithetical : 12,diverse : 12,contrasting : 15,contrary : 17,opposite : 17,disparate : 20,,,,,,,,,
A1C4QUGPOPHFOF,3IGI0VL648360XGKK4I8YMORO3VNO5,approved,difference_1:07:00::,several : 3,divergent : 8,diverse : 12,various : 12,contrary : 15,contrasting : 15,disparate : 15,distinct : 15,different : 18,opposite : 18,antithetical : 20,,,,,,,,,
AAJ5CS1GQYADR,3S96KQ6I9NNDRDUFRRQ4WRIK97BDT0,approved,handiness_1:07:00::,inaccessible : 0,remote : 0,unavailable : 0,unobtainable : 0,pathless : 1,visible : 18,acquirable : 19,addressable : 19,approachable : 19,come-at-able : 19,easy : 19,forthcoming : 19,obtainable : 19,accessible : 20,available : 20,handy : 20,open : 20,ready : 20,,
A406XUSUVXE02,3WLEIWSYHP00JU54U8PYMPOS1NSH2O,approved,handiness_1:07:00::,inaccessible : 0,unavailable : 0,unobtainable : 0,remote : 1,addressable : 15,approachable : 17,visible : 17,obtainable : 18,ready : 19,accessible : 20,acquirable : 20,available : 20,handy : 20,,,,,,,
A3454T4PU9GJM0,3137ONMDKHOEEEM93M2H3QLGJP4GEN,approved,handiness_1:07:00::,inaccessible : 0,pathless : 0,unavailable : 0,unobtainable : 0,remote : 2,easy : 13,addressable : 14,open : 14,ready : 14,forthcoming : 15,acquirable : 16,available : 17,accessible : 18,approachable : 18,obtainable : 19,handy : 20,,,,
A2XFO0X6RCS98M,369J354OFETA1ZTUX4JJR2T32R86GK,approved,timidity_1:07:00::,bashful : 12,coy : 12,mousy : 12,timid : 12,fearful : 16,intimidated : 20,,,,,,,,,,,,,,
A291KO368YRYCR,32VNZTT0A8NNB2YUURKGT8NW89J4RZ,approved,timidity_1:07:00::,intimidated : 17,coy : 18,fearful : 18,mousy : 18,bashful : 19,timid : 19,,,,,,,,,,,,,,
A1A6DUWWGNEE4W,3483FV8BEF2KM5LNYPYUPYZ2S8526Z,approved,timidity_1:07:00::,intimidated : 15,mousy : 17,bashful : 18,coy : 19,fearful : 19,timid : 19,,,,,,,,,,,,,,
A3K8M2HF171NED,3FIUS151DWLCYSI09HS53T6SW6MGG9,approved,essentiality_1:07:00::,accessorial : 0,adscititious : 0,inessential : 0,organic : 0,biogenic : 2,incidental : 4,no-frills : 6,virtual : 7,primary : 10,staple : 14,substantial : 16,essential : 19,must : 20,vital : 20,,,,,,
A3CYV47MM7OA6M,3BF51CHDTWTTNK2QFLLK31VD4O4H0Y,approved,essentiality_1:07:00::,accessorial : 0,incidental : 0,inessential : 0,adscititious : 2,virtual : 6,no-frills : 10,substantial : 18,biogenic : 19,organic : 19,primary : 19,essential : 20,must : 20,staple : 20,vital : 20,,,,,,
A1LOD3LNX7FUPJ,33ISQZVXPQ5M04MQ5903NB0Y0LXCCE,approved,continuity_1:07:00::,straight : 9,nonstop : 17,continual : 18,continuous : 19,persisting : 19,constant : 20,endless : 20,sustained : 20,,,,,,,,,,,,
A2XFO0X6RCS98M,3FPRZHYEPZQUMDW73XK7K0KTFF2V30,approved,continuity_1:07:00::,straight : 19,constant : 20,continual : 20,continuous : 20,endless : 20,nonstop : 20,persisting : 20,sustained : 20,,,,,,,,,,,,
A3RS7UCO7CQ74R,3M0BCWMB8WFC4X0P8049OL1JAGGBWG,approved,continuity_1:07:00::,constant : 16,continuous : 16,persisting : 16,continual : 18,nonstop : 18,sustained : 18,endless : 20,,,,,,,,,,,,,
A2MZMONB3L1JH0,3137ONMDKHOEEEM93M2H3QLGJP3EGK,approved,humanness_1:07:00::,inhuman : 0,nonhuman : 0,bloodless : 1,dehumanised : 3,weak : 6,earthborn : 13,anthropomorphic : 15,anthropoid : 17,hominal : 19,hominine : 19,human : 20,,,,,,,,,
A1LOD3LNX7FUPJ,3VNXK88KKD1G1FLNK6LHBDNFF7BV9G,approved,humanness_1:07:00::,dehumanised : 0,hominal : 0,inhuman : 0,nonhuman : 0,hominine : 1,weak : 2,bloodless : 3,anthropomorphic : 5,anthropoid : 12,earthborn : 13,human : 20,,,,,,,,,
A3T8J0PN3DLSTM,3EQHHY4HQTBEIVTGSL9EZWF36X85GG,approved,humanness_1:07:00::,inhuman : 0,nonhuman : 0,dehumanised : 1,bloodless : 4,earthborn : 13,anthropoid : 16,anthropomorphic : 18,hominal : 20,hominine : 20,human : 20,,,,,,,,,,
AEF0KPEB244C7,3A4TN5196L1DHCX6R1E4Y2XEDDZCHK,approved,attention_1:07:00::,absent : 0,distracted : 0,dreamy : 0,yawning : 0,forgetful : 1,inattentive : 1,observant : 19,absorbed : 20,advertent : 20,attentive : 20,solicitous : 20,,,,,,,,,
A7SM0NS3IFW96,35USIKEBNSZGBRAGK8WEHM203436N3,approved,attention_1:07:00::,absent : 0,dreamy : 0,yawning : 0,absorbed : 1,inattentive : 1,observant : 1,advertent : 19,attentive : 19,forgetful : 19,distracted : 20,oversolicitous : 20,solicitous : 20,,,,,,,,
ABI1EI8UQK6LK,38JBBYETQPTY2YTP8L0GU1ODTKU4EN,approved,attention_1:07:00::,absent : 0,inattentive : 0,distracted : 1,dreamy : 1,yawning : 4,observant : 17,attentive : 18,absorbed : 19,solicitous : 19,,,,,,,,,,,
A2XFO0X6RCS98M,3P4RDNWND6P0LLEW7BDBLIBO3ARJI2,approved,passivity_1:07:00::,supine : 17,hands-off : 20,passive : 20,,,,,,,,,,,,,,,,,
A45LS1ZTC5ID8,3T111IHZ5F9O8846BMG7AGYCU1YR9J,approved,passivity_1:07:00::,hands-off : 17,passive : 18,supine : 19,,,,,,,,,,,,,,,,,
A03922113RU44GENR8ATX,3GNA64GUZFN5VKNUVHEQTAJ5CJD5Q5,approved,passivity_1:07:00::,hands-off : 20,passive : 20,,,,,,,,,,,,,,,,,,
A2UIRHKDQBWJEZ,3IOEN3P9S82DXK3RFLYGKFPX02W61R,approved,freedom_1:26:00::,prisonlike : 0,nonautonomous : 1,trapped : 1,confined : 2,bound : 3,entangled : 3,unconfined : 11,unconstrained : 11,unrestricted : 11,available : 12,footloose : 12,atrip : 15,loose : 15,liberated : 18,independent : 19,free : 20,,,,
A3T8J0PN3DLSTM,3WQ3B2KGE9ZJ3WKMBCFOVVBPE4BB1N,approved,freedom_1:26:00::,adscript : 0,bound : 0,prisonlike : 0,serflike : 0,trapped : 0,confined : 1,entangled : 1,nonautonomous : 1,available : 18,loose : 19,unconfined : 19,unconstrained : 19,unrestricted : 19,free : 20,independent : 20,liberated : 20,,,,
A2XFO0X6RCS98M,3TVRFO09GLY366RR9IPP47BVVCYLX4,approved,concreteness_1:07:00::,objective : 16,concrete : 19,real : 19,,,,,,,,,,,,,,,,,
AXHDHGJRFHMRR,3GLB5JMZFYE9M8897RRXX83VJD3DGR,approved,concreteness_1:07:00::,real : 18,objective : 19,concrete : 20,,,,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,30H4UDGLT31I3F7LN3GNA74HTJJMPP,approved,width_1:07:00::,narrow : 0,straplike : 4,thin : 5,beamy : 7,broad-brimmed : 8,wide-screen : 9,panoramic : 10,strait : 10,sweeping : 11,fanlike : 12,narrow-mouthed : 12,tapered : 12,deep : 13,wide : 20,,,,,,
A3GLMBZSG3VU4P,38JBBYETQPTY2YTP8L0GU1ODTLY4ET,approved,width_1:07:00::,narrow : 0,narrow-mouthed : 0,thin : 0,deep : 1,tapered : 1,straplike : 3,strait : 6,fanlike : 13,sweeping : 17,broad-brimmed : 19,panoramic : 20,wide : 20,wide-screen : 20,,,,,,,
A61GHYNS1DFT7,3I7DHKZYGOJ84VXLH13WHBFR5I6F5P,approved,width_1:07:00::,straplike : 0,narrow : 1,thin : 1,narrow-mouthed : 4,strait : 4,tapered : 6,fanlike : 13,beamy : 15,broad-brimmed : 15,sweeping : 17,wide : 17,wide-screen : 17,panoramic : 19,,,,,,,
